BeanCount,amplitude_envelope,rms_db,spectral_flux,onset_strength,ioi_s,shake_rate_bpm
2,0.0,-80.0,0.0,0.0,0.14999999,750.0
2,0.0,-80.0,0.0,0.0,0.14999999,750.0
2,2.7583808e-06,-80.0,0.0,0.0,0.14999999,750.0
2,0.00075277314,-80.0,0.0,0.0,0.14999999,750.0
2,0.0026751948,-52.03304,0.0015224942,0.0,0.14999999,750.0
2,0.004921773,-47.213078,0.004483979,0.15731771,0.14999999,750.0
2,0.0068639005,-44.24399,0.003430603,0.43186542,0.14999999,750.0
2,0.008786902,-40.908463,0.004075192,0.16308618,0.21666665,613.63635
2,0.012167351,-39.384098,0.006083635,0.10213029,0.28333333,519.2308
2,0.018565537,-38.785732,0.0039967615,0.1246942,0.35000002,449.99997
2,0.027586777,-31.121033,0.010045923,0.059478972,0.41666666,397.05884
2,0.036203194,-28.68378,0.027670637,0.1185954,0.48333326,355.26318
2,0.041373216,-27.836643,0.015407636,0.22229864,0.55,321.42856
2,0.04299203,-27.97585,0.011894455,0.1350752,0.52857137,331.57895
2,0.04339169,-28.557919,0.017556673,0.063536614,0.5071429,342.3913
2,0.044371653,-27.262135,0.0070963185,0.072343774,0.4857143,353.9326
2,0.04548119,-26.258175,0.029921198,0.02658429,0.4642857,366.27908
2,0.045731388,-26.02496,0.013753311,0.115270056,0.44285715,379.51807
2,0.04574515,-27.701756,0.004675925,0.064080074,0.42142856,393.75
2,0.045545388,-26.996681,0.02222134,0.021529527,0.39999995,409.0909
2,0.041880265,-27.403233,0.0384733,0.1291443,0.3785714,425.6757
2,0.031145388,-27.495869,0.0032996119,0.16980678,0.35714284,443.66196
2,0.015249533,-32.42313,0.0038310427,0.023073569,0.33571428,463.2353
2,0.0050578318,-34.844902,0.0049487865,0.021612193,0.3142857,484.6154
2,0.018555524,-35.262505,0.0061906264,0.033538498,0.29285714,508.0645
2,0.070546634,-20.490356,0.06601796,0.060768258,0.27142856,533.8983
2,0.15667766,-19.684036,0.10075394,0.35578808,0.25,562.5
2,0.24460092,-12.713472,0.12924013,0.23218276,0.275,529.41174
2,0.28717378,-9.517946,0.19862068,0.19714709,0.29999998,500.0
2,0.26209816,-9.115801,0.19070996,0.20921652,0.325,473.6842
2,0.20385551,-10.720051,0.0199843,0.07260081,0.35000002,449.99997
2,0.17927352,-16.351116,0.022026896,0.02263421,0.375,428.57144
